loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.14871588,-44.42331497826372,83
0.13940883,-44.47393410998939,84
0.14399353,-44.5820719055348,85
0.14512992,-44.54584370505721,86
0.14629504,-44.56906607041575,87
0.14237589,-44.63507431707311,88
0.1443372,-44.64158230312178,89
0.14795892,-44.665381001826894,90
0.13984771,-44.77851265386057,91
0.13481112,-44.75613659753283,92
0.13448346,-44.79334548926714,93
0.13774048,-44.79048863420978,94
0.14084044,-44.87416021577454,95
0.13996339,-44.88361402865281,96
0.14012979,-44.857280288974145,97
0.13791855,-44.8921945537167,98
0.13770354,-44.9643307803502,99
0.13474256,-44.95807665315889,100
0.13357642,-45.04804909317944,101
0.13518834,-44.99662997081177,102
0.13229734,-45.114689916242355,103
0.13052562,-45.11310368313121,104
0.13169672,-45.18425042777833,105
0.13343453,-45.25205812260994,106
0.12858464,-45.215283932212564,107
0.13087009,-45.22057233342271,108
0.13185826,-45.1735924747425,109
0.12719342,-45.29387748054921,110
0.12895465,-45.33655563260568,111
0.12969957,-45.356632666087634,112
0.12910834,-45.4828568356072,113
0.12839772,-45.43593852083999,114
0.1277713,-45.43173301620464,115
0.12927856,-45.44837879064481,116
0.12741001,-45.48865457668339,117
0.12599818,-45.550168834059136,118
0.12571916,-45.594232220196,119
0.123784915,-45.55103107304657,120
0.12722336,-45.58477238148535,121
0.1230918,-45.63526369590397,122
0.12437924,-45.68540121696337,123
0.1264855,-45.71073248766116,124
0.12538613,-45.67567428584954,125
0.12466651,-45.754293617391376,126
0.122820355,-45.57662571243947,127
0.12774801,-45.688417678797784,128
0.13382056,-45.77993844955143,129
0.12061323,-45.7648732952657,130
0.123958625,-45.55281321957772,131
0.12306696,-45.76955133121605,132
0.122781016,-45.98666500415396,133
0.11884812,-45.96631385840401,134
0.12018895,-45.99147863454102,135
0.1229681,-45.89716128270789,136
0.12029289,-45.981170778550926,137
0.11684114,-46.064383795151926,138
0.12144834,-45.89707251345998,139
0.120406985,-46.0293938049019,140
0.115980506,-46.03639186458974,141
0.11691441,-46.0580893431177,142
0.11695148,-46.1313029433801,143
0.1272551,-46.194492990709506,144
0.11735263,-46.20213804614333,145
0.11894431,-46.2008623728296,146
0.11721067,-46.245735042246224,147
0.12029673,-46.22141400885356,148
0.11371918,-46.25677504225186,149
0.11920371,-46.128967108069766,150
0.11560206,-46.318760204877755,151
0.114738844,-46.27870718385355,152
0.11202037,-46.22539540320428,153
0.11599924,-46.41382744361817,154
0.11067416,-46.43963214965257,155
0.11954522,-46.411926004390715,156
0.11769029,-46.216409240511325,157
0.11140798,-46.42924617014961,158
0.11599536,-46.413730731894645,159
0.11244086,-46.48276895961874,160
0.1153091,-46.44243700389955,161
0.11121124,-46.50706431155756,162
0.11579075,-46.54642707587939,163
0.11593008,-46.260757228110684,164
0.11133468,-46.6243573609729,165
0.115894996,-46.52780589485022,166
0.10925069,-46.5975775580493,167
0.11102633,-46.652989305573016,168
0.12102302,-46.599438562855475,169
0.111084,-46.7075169620284,170
0.11076869,-46.682132004774296,171
0.111191295,-46.751105802369196,172
0.11426433,-46.59006224243603,173
0.10999318,-46.56310345888688,174
0.11263086,-46.72936338887945,175
0.11103593,-46.67550651548336,176
0.10601201,-46.73603856511592,177
0.10753076,-46.78910059120509,178
0.107648775,-46.73572181609693,179
0.1043918,-46.82441427598216,180
0.110340856,-46.8197666597721,181
0.111351565,-46.73981735980887,182
0.10629205,-46.85716755336968,183
0.10673012,-46.94494043444633,184
0.1055401,-46.98537978382409,185
0.11281085,-46.86921640236153,186
0.10543933,-46.90328074198681,187
0.10585457,-46.95097888888809,188
0.104278184,-46.944205399322705,189
0.104847,-46.89545940331662,190
0.11063103,-46.85191206382953,191
0.11300492,-46.97419615493857,192
0.10498359,-47.02399550636294,193
0.10498302,-47.0522761240957,194
0.10540299,-47.10107900497699,195
0.1128211,-46.97316226044445,196
0.10181783,-47.02374744831094,197
0.10468265,-47.095599087179245,198
0.10801669,-47.04710816615482,199
0.102869175,-47.19957559589974,200
0.10246028,-46.99074294390388,201
0.099730305,-47.15556392880029,202
0.10534439,-47.12410811223443,203
0.1056041,-47.24916546183936,204
0.10185443,-47.180905043941245,205
0.10943393,-47.13803601319987,206
0.116523504,-47.11321538654649,207
0.104324736,-47.20846724039348,208
0.10453614,-47.13592386062282,209
0.10091575,-47.30898842685618,210
